id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42604360,Luxurious Flat at the Heart of Istanbul TAKSIM 6,271733266,Ozan,,Beyoglu,41.03343,28.97046,Entire home/apt,290,2,3,2020-03-16,0.29,9,81
42604794,"Sunny Fresh Aparment,2 Rooms,5 min to Istiklal St",40980307,Ismail-HK,,Beyoglu,41.03537,28.97467,Entire home/apt,273,2,4,2020-11-11,0.94,8,38
42605275,Historic  Flat Right Next to Galata Tower,339390881,Tulay & Barkın,,Beyoglu,41.0244,28.97349,Entire home/apt,553,2,9,2020-12-31,2.11,1,0
42605280,"Special Roof Floor,Wood Design",40980307,Ismail-HK,,Beyoglu,41.03658,28.97464,Entire home/apt,318,2,4,2020-11-29,0.96,8,55
42606525,"Small ,cosy , private room",35049807,Gökhan,,Bagcilar,41.02738,28.84334,Private room,74,1,0,,,1,365
42606884,istanbulun en güzel yerinde taksimde,339404048,Baver,,Beyoglu,41.03243,28.98039,Private room,791,1,0,,,1,365
42607561,COMBI-APARTMENT! 6 BR/3 BATH HISTORIC,308453958,Adnan,,Beyoglu,41.02375,28.97404,Entire home/apt,5422,3,0,,,17,0
42607754,deluxe 2 kişilik,336051550,Mehmet,,Fatih,41.0023,28.97004,Private room,100,1,4,2020-10-04,1.02,16,365
42607765,2 kişilik oda,336051550,Mehmet,,Fatih,41.00272,28.97075,Private room,136,1,14,2020-11-22,2.84,16,365
42607895,Cozy House 3 min to Osmanbey Metro 2 Double Bed,339412094,Kaan,,Sisli,41.04942,28.98565,Entire home/apt,422,2,5,2020-10-19,1.25,1,61
42608957,PEDHAUS TERAS DAİRE,269868669,Abdullah,,Sisli,41.04195,28.9838,Entire home/apt,150,1,0,,,1,364
42609246,Separate room for lovers and for my female guests,339424811,Alper,,Besiktas,41.04498,28.99732,Private room,200,1,0,,,1,1
42609341,Duplex unit in the best area of ​​taksim,339426565,Amir,,Beyoglu,41.03158,28.97808,Entire home/apt,400,1,0,,,4,358
42611654,Broyt Suites Hotel Super Dublex Penthouse istanbul,339453730,Broyt,,Kadikoy,40.96534,29.07379,Private room,750,7,1,2020-11-09,0.54,6,365
42612390,ROOM(1)-5 minutes walk from Taksim Square,11248362,Faisal,,Beyoglu,41.03457,28.98573,Private room,84,1,1,2020-03-11,0.10,2,54
42614080,carvan hotel 21,266551356,Carvan,,Fatih,41.00438,28.97168,Shared room,127,1,0,,,4,143
42614598,"Tarihi miras olan, boğaz manzaralı ahşap ev",339475084,Eray,,Besiktas,41.04401,29.0106,Private room,150,1,0,,,1,365
42614777,carvan hotel 23,266551356,Carvan,,Fatih,41.00606,28.97018,Shared room,200,1,0,,,4,176
42614821,Bosphorus view!,279962484,Levent,,Uskudar,41.02092,29.02023,Private room,150,1,0,,,1,90
42614861,carvan hotel 24,266551356,Carvan,,Fatih,41.00518,28.97163,Shared room,150,1,0,,,4,0
42615210,Güler yüzlü ekiple temiz daire.taksime 10dk mesafe,339474986,Babak,,Beyoglu,41.03492,28.97535,Entire home/apt,160,1,0,,,2,89
42615289,"Basaksehir, Bahçetepe Istanbul Apartement",45989108,Saif,,Basaksehir,41.1211,28.76636,Entire home/apt,260,180,0,,,2,365
42615557,Kadıköy cazibe merkezine 10 dk yürüme mesafesinde,175296471,Kesra,,Kadikoy,40.99603,29.03287,Private room,154,1,0,,,1,365
42615563,Güler yüzlü ekip temiz odalar taksim 10 dk mesafe,339474986,Babak,,Beyoglu,41.03611,28.97531,Entire home/apt,120,1,0,,,2,179
42615589,Amazing Bosphorus view at the heart of Istanbul!,339473034,Nezih,,Beyoglu,41.03364,28.98492,Entire home/apt,740,7,9,2020-12-21,1.64,1,178
42615896,Are you looking for home at good location?,339483370,Ayşegül,,Kucukcekmece,41.0038,28.8055,Entire home/apt,335,30,0,,,1,365
42617406,Unlimited breakfast near the Sabiha Gökçen Airport,186133907,Cesur,,Tuzla,40.89434,29.35643,Private room,210,1,0,,,6,0
42617561,Good location and clean apartment in taksim,323210914,Kerem,,Sisli,41.04182,28.98352,Entire home/apt,592,2,0,,,3,338
42618115,İn the heart of the city,133332978,Mesut,,Beyoglu,41.0354,28.98116,Private room,227,1,0,,,6,179
42618586,big room in kadıköy,261964726,Cihangir,,Kadikoy,40.99601,29.03534,Private room,91,3,2,2020-10-07,0.20,3,67
42620268,Two bedrooms flat in a new residence,339207325,Kerem,,Esenyurt,41.01829,28.68179,Entire home/apt,130,7,1,2020-04-09,0.11,2,307
42620320,"Luxury 1+1 flat with swimming pool, gym and  sauna",100909665,Yavuz,,Kadikoy,40.99533,29.06288,Private room,136,1,0,,,1,364
